f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,is_phishing
24,16,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,1,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,5,3,2,6,3.4,2,6,3.25,0,0,0.0,0,0,0,0,0,0
26,10,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,1,0,0.038461538461538464,0.0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,3,7,5.0,3,6,4.5,7,7,7.0,0,0,0,0,0,0
76,21,0,2,6,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,1,1,1,0.013157894736842105,0.0,0,0,0,0,0,1,0,0,0,0,1,1,12,3,1,13,5.166666666666667,3,13,6.333333333333333,1,13,4.75,1,0,0,1,0,0
19,11,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,0.3684210526315789,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,4.666666666666667,3,7,5.0,0,0,0.0,0,0,0,0,0,1
69,17,0,2,5,0,0,0,0,0,0,0,2,5,0,1,0,0,0,2,1,1,1,1,1,0.057971014492753624,0.0,0,0,0,0,0,1,0,0,0,0,1,0,12,3,2,9,4.5,3,9,5.0,2,9,4.25,0,0,0,0,0,0
19,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6,4.666666666666667,3,6,4.5,0,0,0.0,0,0,0,0,0,1
47,15,0,3,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,3,14,5.428571428571429,3,7,4.333333333333333,0,0,0.0,0,0,0,0,0,0
32,16,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,6,2,2,7,4.166666666666667,2,7,4.666666666666667,2,4,3.0,0,0,0,0,0,1
65,23,0,2,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,1,1,0.07692307692307693,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,20,6.111111111111111,2,20,11.0,2,7,4.666666666666667,1,0,0,0,0,1
16,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0.375,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,6,4.0,2,6,4.0,0,0,0.0,0,0,0,0,0,1
18,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,0.2222222222222222,0.4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6,4.333333333333333,3,6,4.5,0,0,0.0,0,0,0,0,0,1
28,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,11,5.5,3,11,5.666666666666667,0,0,0.0,0,0,0,0,0,1
21,12,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,9,5.333333333333333,2,9,5.5,0,0,0.0,0,0,0,0,0,0
22,15,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,1,4,2,1,9,4.25,1,9,4.333333333333333,0,0,0.0,0,1,0,0,0,1
26,17,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,4,3,3,9,5.0,3,9,5.0,0,0,0.0,0,0,0,0,0,0
17,8,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,3,5,4.0,3,4,3.5,0,0,0.0,0,0,0,0,0,0
48,22,0,3,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,1,1,1,0.125,0.0,0,0,0,0,0,2,1,0,0,0,0,0,8,3,2,8,4.625,2,6,3.6,6,8,7.0,0,0,0,0,0,0
110,51,0,2,2,0,1,1,0,2,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,0.17272727272727273,0.0,0,0,0,0,0,1,1,0,0,0,1,0,10,2,1,24,9.7,2,23,9.4,0,0,0.0,0,0,1,0,0,1
